creator_id,creator_name,category,tier,followers,base_views,base_gmv,join_date
CR0001,Monica Gonzalez,Home,Micro,93810,12296,1225.0967970040024,2025-03-19
CR0002,Jerry Mayer,Beauty,Mega,2027150,968106,311630.34282011515,2025-05-16
CR0003,Margaret Clarke,Gaming,Mid,454785,192964,13477.553305176647,2025-09-27
CR0004,Amber Henry MD,Food,Micro,14165,6952,1843.257158754332,2025-03-19
CR0005,Lisa Miller,Gaming,Nano,9279,717,605.1205566447517,2025-11-30
CR0006,Matthew Foley,Fashion,Nano,4611,4179,630.3391154883178,2026-04-02
CR0007,Preston Vazquez,Electronics,Nano,3615,3962,406.2254648661927,2025-08-16
CR0008,Brandon Smith,Gaming,Macro,612886,376472,65331.541477977305,2025-07-22
CR0009,Tina Roberts,Home,Micro,22676,28526,8627.44929712714,2024-10-22
CR0010,Katrina Morgan,Gaming,Mid,122780,170435,31449.12365818803,2025-08-26
CR0011,Shelby Martin,Sports,Nano,2291,2901,846.4641978276953,2025-08-30
CR0012,Amanda Obrien,Fashion,Mega,3421590,903258,763657.4689719388,2025-03-23
CR0013,Tiffany Clark,Beauty,Mid,446692,109742,40922.73363154767,2026-03-07
CR0014,Amanda Young,Books,Nano,4814,1327,442.1136025352495,2024-10-05
CR0015,Ashley Powers,Food,Nano,6977,1832,433.1628704051944,2024-10-21
CR0016,William Johnson,Electronics,Nano,5374,1084,648.2179051002894,2024-06-08
CR0017,Julie Mora,Gaming,Nano,9751,2505,247.06224438573554,2026-01-03
CR0018,Richard Boyd,Food,Micro,45382,46943,7193.457625899819,2025-09-19
CR0019,Sydney Mcclain,Fashion,Micro,99733,26252,8585.667281708287,2025-11-09
CR0020,Randall Chapman,Gaming,Nano,4752,762,824.5412206940929,2025-12-11
CR0021,Troy Perez,Sports,Micro,45093,9337,2898.845592276938,2025-08-06
CR0022,Christina Nelson,Books,Nano,4483,4589,456.06871095459786,2024-12-28
CR0023,Wendy Stevenson,Home,Nano,3340,2669,225.66728757295567,2024-06-09
CR0024,Todd Mccarty,Gaming,Micro,86622,33077,9080.405952422294,2026-01-12
CR0025,Laura Rivera,Electronics,Micro,57447,19373,9975.932001902449,2025-10-14
CR0026,Ryan Hoffman,Fashion,Mid,367138,179372,13636.376486951756,2026-01-21
CR0027,Robin Davis,Gaming,Nano,2796,1752,664.701437532781,2025-12-24
CR0028,Anthony Burke,Books,Micro,88172,9163,4462.905805070501,2025-02-12
CR0029,Chase Bean,Fashion,Micro,79352,21476,9739.705398522563,2025-02-23
CR0030,Heather Brown,Sports,Nano,2876,4898,775.7900196324488,2025-08-31
CR0031,Cynthia Hernandez,Books,Micro,24621,24234,4912.887256021944,2025-02-04
CR0032,Devon Vasquez,Electronics,Nano,1053,2657,974.6992889831029,2026-02-28
CR0033,Hannah Erickson,Home,Nano,9317,1371,883.4667128530903,2025-04-22
CR0034,Richard Mathis,Electronics,Macro,941277,466161,141345.53171572584,2025-07-15
CR0035,Jacob Johnson,Fashion,Mega,2568308,838792,631503.2240957005,2024-09-16
CR0036,Joseph Herring,Beauty,Mid,414019,134975,29544.228321157916,2024-08-10
